SPECIES	Longitude	Latitude
Adenocalymma bracteosum 	-72.0450	7.5700
Adenocalymma bracteosum 	-71.9660	7.5330
Adenocalymma bracteosum 	-71.9160	7.4500
Adenocalymma bracteosum 	-61.6330	6.7330
Adenocalymma bracteosum 	-61.1310	6.7350
Adenocalymma bracteosum 	-70.2500	8.6000
Adenocalymma bracteosum 	-71.2838	7.3483
Adenocalymma bracteosum 	-67.4160	6.4160
Adenocalymma bracteosum 	-67.7660	5.0330
Adenocalymma bracteosum 	-66.8000	3.7500
Adenocalymma bracteosum 	-55.1833	5.5833
Adenocalymma bracteosum 	-54.9833	5.4167
Adenocalymma bracteosum 	-54.9167	5.3833
Adenocalymma bracteosum 	-73.8852	-7.9664
Adenocalymma bracteosum 	-72.0830	-3.0000
Adenocalymma bracteosum 	-72.9160	-3.3330
Adenocalymma bracteosum 	-72.7500	-4.2500
Adenocalymma bracteosum 	-58.5586	6.2060
Adenocalymma bracteosum 	-53.0500	5.0660
Adenocalymma bracteosum 	-52.5830	4.9160
Adenocalymma bracteosum 	-51.6667	4.2167
Adenocalymma bracteosum 	-52.3330	4.8330
Adenocalymma bracteosum 	-69.6330	3.5090
Adenocalymma bracteosum 	-76.0830	7.5000
Adenocalymma bracteosum 	-77.1180	7.4400
Adenocalymma bracteosum 	-69.4190	-1.4230
Adenocalymma bracteosum 	-62.0186	-10.9172
Adenocalymma bracteosum 	-51.9170	-2.6500
Adenocalymma bracteosum 	-54.6830	-2.4330
Adenocalymma bracteosum 	-47.9830	-1.5000
Adenocalymma bracteosum 	-48.4830	-1.4500
Adenocalymma bracteosum 	-44.2670	-2.5670
Adenocalymma bracteosum 	-67.0660	-0.1330
Adenocalymma bracteosum 	-59.4574	-1.2271
Adenocalymma bracteosum 	-59.9000	-2.3000
Adenocalymma bracteosum 	-60.0830	-2.3160
Adenocalymma bracteosum 	-51.3160	3.6000
Adenocalymma bracteosum 	-51.7670	3.9000
Adenocalymma bracteosum 	-68.1377	-9.7165
Adenocalymma impressum 	-64.8160	4.9830
Adenocalymma impressum 	-65.0000	6.0000
Adenocalymma impressum 	-65.0980	4.9740
Adenocalymma impressum 	-64.2160	5.3330
Adenocalymma impressum 	-64.2160	5.4160
Adenocalymma impressum 	-65.0330	5.8830
Adenocalymma impressum 	-64.9330	5.1330
Adenocalymma impressum 	-64.6000	3.8160
Adenocalymma impressum 	-65.2330	2.8000
Adenocalymma impressum 	-66.0160	4.0500
Adenocalymma impressum 	-63.7630	2.1040
Adenocalymma impressum 	-73.9160	-8.0830
Adenocalymma impressum 	-75.0000	-8.6830
Adenocalymma impressum 	-75.3790	-8.9540
Adenocalymma impressum 	-75.0830	-10.5000
Adenocalymma impressum 	-69.5670	-13.1340
Adenocalymma impressum 	-69.0500	-12.4830
Adenocalymma impressum 	-69.7160	-12.8160
Adenocalymma impressum 	-69.0500	-12.0830
Adenocalymma impressum 	-69.1660	-12.5830
Adenocalymma impressum 	-69.0830	-12.5830
Adenocalymma impressum 	-69.0500	-12.5830
Adenocalymma impressum 	-69.2500	-12.4330
Adenocalymma impressum 	-69.2830	-12.8160
Adenocalymma impressum 	-69.1830	-12.6000
Adenocalymma impressum 	-70.2660	-12.8970
