"","Consensus_area","Bioregion","Ub","Uc"
"1","D1CA0","Cerrado and associated dry areas","1.2654","21.8683"
"2","D1CA0","Coastal Brazil","8.9345","55.8712"
"3","D1CA1","Cerrado and associated dry areas","0.8816","12.1283"
"4","D1CA1","Coastal Brazil","10.0075","49.8191"
"5","D1CA2","Amazonia","2.9971","64.2218"
"6","D1CA2","Guyana Highlands","27.4033","21.9399"
"7","D1CA2","Guinana Lowlands","0.0804","0.2248"
"8","D1CA2","Northern Colombia and Venezuela","4.049","13.6126"
"9","D1CA3","Cerrado and associated dry areas","0.2397","10.2763"
"10","D1CA3","Coastal Brazil","4.1005","63.6088"
"11","D1CA4","Cerrado and associated dry areas","1.9015","100"
"12","D1CA5","Cerrado and associated dry areas","0.0561","1.9647"
"13","D1CA5","Coastal Brazil","4.9973","63.3852"
"14","D1CA6","Amazonia","0.042","1.0585"
"15","D1CA6","Guinana Lowlands","20.2982","66.746"
"16","D1CA7","Amazonia","1.6356","100"
"17","D1CA8","Cerrado and associated dry areas","0.272","10.2607"
"18","D1CA8","Coastal Brazil","4.1545","56.7089"
"19","D1CA9","Cerrado and associated dry areas","3.203","52.5901"
"20","D1CA9","Coastal Brazil","7.521","44.685"
"21","D2CA0","Cerrado and associated dry areas","49.6044","63.4791"
"22","D2CA0","Coastal Brazil","26.5163","12.2788"
"23","D2CA1","Cerrado and associated dry areas","5.0542","51.879"
"24","D2CA1","Coastal Brazil","4.4228","16.4275"
"25","D2CA10","Cerrado and associated dry areas","37.9333","71.3394"
"26","D2CA10","Coastal Brazil","19.5457","13.3013"
"27","D2CA11","Amazonia","0.1481","1.983"
"28","D2CA11","Guinana Lowlands","38.551","67.3135"
"29","D2CA12","Amazonia","4.6134","54.9675"
"30","D2CA12","Guyana Highlands","30.1784","13.4347"
"31","D2CA12","Guinana Lowlands","4.0731","6.3275"
"32","D2CA12","Northern Colombia and Venezuela","13.5199","25.2735"
"33","D2CA13","Cerrado and associated dry areas","0.4584","3.4681"
"34","D2CA13","Coastal Brazil","21.2182","58.0902"
"35","D2CA14","Northern Colombia and Venezuela","53.8731","53.922"
"36","D2CA14","Northern Andes","18.7043","12.518"
"37","D2CA15","Northern Colombia and Venezuela","28.5122","43.9276"
"38","D2CA15","Northern Andes","35.6249","36.6994"
"39","D2CA16","Northern Colombia and Venezuela","13.1301","31.7234"
"40","D2CA16","Northern Andes","23.8123","38.4691"
"41","D2CA16","Mexico and Central America","1.0303","7.5953"
"42","D2CA17","Amazonia","1.6156","12.9574"
"43","D2CA17","Cerrado and associated dry areas","11.4634","76.8173"
"44","D2CA17","Southern Andes","3.1811","9.9975"
"45","D2CA18","Cerrado and associated dry areas","5.0545","26.6802"
"46","D2CA18","Coastal Brazil","20.625","39.395"
"47","D2CA19","Amazonia","28.2499","69.3416"
"48","D2CA19","Northern Colombia and Venezuela","1.4397","0.5544"
"49","D2CA19","Northern Andes","38.2606","9.8522"
"50","D2CA19","Southern Andes","20.5046","19.7222"
"51","D2CA2","Amazonia","0.2137","1.6402"
"52","D2CA2","Cerrado and associated dry areas","14.6265","93.8009"
"53","D2CA20","Cerrado and associated dry areas","0.0012","0.0132"
"54","D2CA20","Coastal Brazil","15.3188","61.009"
"55","D2CA21","Amazonia","33.0898","63.2016"
"56","D2CA21","Cerrado and associated dry areas","4.2494","6.7815"
"57","D2CA21","Northern Andes","25.6291","5.1354"
"58","D2CA21","Southern Andes","32.6239","24.4173"
"59","D2CA22","Cerrado and associated dry areas","10.2097","33.4889"
"60","D2CA22","Coastal Brazil","33.9706","40.3203"
"61","D2CA23","Cerrado and associated dry areas","13.5029","94.9458"
"62","D2CA23","Coastal Brazil","1.8476","4.7009"
"63","D2CA24","Cerrado and associated dry areas","6.1954","23.3249"
"64","D2CA24","Coastal Brazil","50.5323","68.8416"
"65","D2CA25","Amazonia","88.3782","70.3557"
"66","D2CA25","Cerrado and associated dry areas","1.2209","0.8121"
"67","D2CA25","Guyana Highlands","100","2.9744"
"68","D2CA25","Guinana Lowlands","100","10.3795"
"69","D2CA25","Northern Colombia and Venezuela","56.0004","6.9944"
"70","D2CA25","Northern Andes","4.922","0.4111"
"71","D2CA25","Southern Andes","7.0941","2.213"
"72","D2CA26","Amazonia","4.6721","100"
"73","D2CA27","Amazonia","0.3181","4.2644"
"74","D2CA27","Northern Colombia and Venezuela","6.0249","12.6722"
"75","D2CA27","Northern Andes","46.5273","65.4348"
"76","D2CA3","Cerrado and associated dry areas","9.3039","46.8877"
"77","D2CA3","Coastal Brazil","21.3694","38.9691"
"78","D2CA4","Mexico and Central America","21.8207","61.4159"
"79","D2CA5","Amazonia","20.5186","78.5049"
"80","D2CA5","Cerrado and associated dry areas","4.9952","15.9684"
"81","D2CA5","Guinana Lowlands","3.1464","1.5696"
"82","D2CA6","Amazonia","95.7743","61.7703"
"83","D2CA6","Cerrado and associated dry areas","6.2142","3.3487"
"84","D2CA6","Guyana Highlands","100","2.4098"
"85","D2CA6","Guinana Lowlands","100","8.4092"
"86","D2CA6","Northern Colombia and Venezuela","83.5609","8.4555"
"87","D2CA6","Northern Andes","52.6009","3.559"
"88","D2CA6","Southern Andes","16.5878","4.1922"
"89","D2CA6","West Indies","2.1847","0.0614"
"90","D2CA7","Amazonia","2.061","3.2719"
"91","D2CA7","Cerrado and associated dry areas","53.983","71.6031"
"92","D2CA7","Coastal Brazil","40.2647","19.3256"
"93","D2CA8","Amazonia","1.7388","14.3763"
"94","D2CA8","Guyana Highlands","55.7684","17.2279"
"95","D2CA8","Guinana Lowlands","45.5112","49.0611"
"96","D2CA8","Northern Colombia and Venezuela","10.1753","13.1993"
"97","D2CA9","Cerrado and associated dry areas","15.7412","52.3477"
"98","D2CA9","Coastal Brazil","18.1099","21.7927"
