"","Consensus_area","Bioregion","Ub","Uc"
"1","D1CA0","Neotropical region","1.0736","77.3469"
"2","D1CA0","Chacoan subregion","2.7238","77.3469"
"3","D1CA0","Chacoan dominion","0.1141","2.2097"
"4","D1CA0","Parana dominion","14.6009","75.1372"
"5","D1CA0","Cerrado province","0.2914","2.2097"
"6","D1CA0","Atlantic province","27.1791","32.1063"
"7","D1CA0","Parana Forest province","13.4926","43.1571"
"8","D1CA1","Neotropical region","1.0851","62.2343"
"9","D1CA1","Chacoan subregion","2.753","62.2343"
"10","D1CA1","Chacoan dominion","0.028","0.4316"
"11","D1CA1","Parana dominion","15.0861","61.8027"
"12","D1CA1","Cerrado province","0.0715","0.4316"
"13","D1CA1","Atlantic province","29.1208","27.3849"
"14","D1CA1","Parana Forest province","13.5168","34.4177"
"15","D1CA2","Neotropical region","1.339","99.9427"
"16","D1CA2","Brazilian subregion","2.7634","99.9427"
"17","D1CA2","Pacific dominion","2.2085","12.9931"
"18","D1CA2","Boreal Brazilian dominion","6.5011","86.9495"
"19","D1CA2","Sabana province","7.1622","12.9931"
"20","D1CA2","Pantepui province","21.4622","46.2758"
"21","D1CA2","Imerí province","9.9746","40.6804"
"22","D1CA3","Neotropical region","0.4131","73.8296"
"23","D1CA3","Chacoan subregion","1.0481","73.8296"
"24","D1CA3","Chacoan dominion","0.0071","0.343"
"25","D1CA3","Parana dominion","5.7566","73.4866"
"26","D1CA3","Cerrado province","0.0182","0.343"
"27","D1CA3","Atlantic province","10.4519","30.6278"
"28","D1CA3","Parana Forest province","5.4016","42.8588"
"29","D1CA4","Neotropical region","0.4558","99.9188"
"30","D1CA4","Chacoan subregion","1.1563","99.9188"
"31","D1CA4","Chacoan dominion","1.1349","66.9082"
"32","D1CA4","Parana dominion","2.1124","33.08"
"33","D1CA4","Caatinga province","7.3028","65.8997"
"34","D1CA4","Cerrado province","0.0437","1.0084"
"35","D1CA4","Parana Forest province","3.3986","33.08"
"36","D1CA5","Neotropical region","0.4423","64.6395"
"37","D1CA5","Chacoan subregion","1.1223","64.6395"
"38","D1CA5","Parana dominion","6.1928","64.6395"
"39","D1CA5","Atlantic province","14.9544","35.8309"
"40","D1CA5","Parana Forest province","4.4405","28.8086"
"41","D1CA6","Neotropical region","0.7742","68.0111"
"42","D1CA6","Brazilian subregion","1.5978","68.0111"
"43","D1CA6","Boreal Brazilian dominion","4.3206","68.0111"
