"","NDM_SppCode","Species","Spatial_Scale","Analysis","Consensus_Rule","Number_CAs","Consensus_Area","Individual_Areas","Number_Spp","Cons_Area_Min_Score","Cons_Area_Max_Score","Spp_Min_Score","Spp_Max_Score","Groups","Approx_geo","Area_name","Geo_name","Geo_sector"
"1","82","Amphilophium crucigerum",3,"D","Loose 40","32","CA 0","7","5",2.64,2.89,"0.000","0.892","0","NEO","D3CA0","NEO_1","Continental patterns"
"2","224","Dolichandra unguis-cati",3,"D","Loose 40","32","CA 0","7","5",2.64,2.89,"0.836","0.876","0","NEO","D3CA0","NEO_1","Continental patterns"
"3","388","GRP-2",3,"D","Loose 40","32","CA 0","7","5",2.64,2.89,"0.000","0.954","1","NEO","D3CA0","NEO_1","Continental patterns"
"4","401","GRP-15",3,"D","Loose 40","32","CA 0","7","5",2.64,2.89,"0.000","0.939","1","NEO","D3CA0","NEO_1","Continental patterns"
"5","402","GRP-16",3,"D","Loose 40","32","CA 0","7","5",2.64,2.89,"0.000","0.946","1","NEO","D3CA0","NEO_1","Continental patterns"
"6","191","Bignonia sciuripabulum",3,"D","Loose 40","32","CA 30","1","3",2.587,2.837,"0.828","0.828","0","SA","D3CA30","SA_1","Continental patterns"
"7","340","Pyrostegia venusta",3,"D","Loose 40","32","CA 30","1","3",2.587,2.837,"0.862","0.862","0","SA","D3CA30","SA_1","Continental patterns"
"8","400","GRP-14",3,"D","Loose 40","32","CA 30","1","3",2.587,2.837,"0.897","0.897","1","SA","D3CA30","SA_1","Continental patterns"
"9","48","Adenocalymma molle",1,"D","Loose 40","10","CA 7","1","3",2.473,2.723,"0.844","0.844","0","AM","D1CA7","AM_1","Amazonia"
"10","112","Amphilophium reticulatum",1,"D","Loose 40","10","CA 7","1","3",2.473,2.723,"0.786","0.786","0","AM","D1CA7","AM_1","Amazonia"
"11","367","Tynanthus densiflorus",1,"D","Loose 40","10","CA 7","1","3",2.473,2.723,"0.844","0.844","0","AM","D1CA7","AM_1","Amazonia"
"12","5","Adenocalymma allamandiflorum",2,"D","Loose 40","28","CA 5","7","7",2.27,3.02,"0.000","0.634","0","AM","D2CA5","AM_2","Amazonia"
"13","34","Adenocalymma gracielzae",2,"D","Loose 40","28","CA 5","7","7",2.27,3.02,"0.000","0.662","0","AM","D2CA5","AM_2","Amazonia"
"14","45","Adenocalymma magnificum",2,"D","Loose 40","28","CA 5","7","7",2.27,3.02,"0.000","0.552","0","AM","D2CA5","AM_2","Amazonia"
"15","71","Adenocalymma velutinum",2,"D","Loose 40","28","CA 5","7","7",2.27,3.02,"0.000","0.788","0","AM","D2CA5","AM_2","Amazonia"
"16","299","Mansoa angustidens",2,"D","Loose 40","28","CA 5","7","7",2.27,3.02,"0.000","0.500","0","AM","D2CA5","AM_2","Amazonia"
"17","323","Pleonotoma bracteata",2,"D","Loose 40","28","CA 5","7","7",2.27,3.02,"0.000","0.787","0","AM","D2CA5","AM_2","Amazonia"
